gender,first_name,last_name,email,birth_date,country,job,phone_number,customer_id
M,Ryan,Chang,ryan.chang@williams-sheppard.info,1997-07-22,Uruguay,Immunologist,459.638.2421x9489,CUST001
F,Annette,Jones,annette.jones@rivera.com,1983-12-01,Micronesia,Publishing rights manager,584.708.0160x975,CUST002
M,Michael,Brown,michael.brown@walker.net,2000-06-26,Bermuda,Catering manager,687-914-8418x58398,CUST003
M,Brandon,Yates,brandon.yates@johnston-roberts.com,1982-09-16,Antigua and Barbuda,Video editor,+1-547-511-2201x86848,CUST004
M,Steven,Lawrence,steven.lawrence@riley-hayes.com,1975-08-10,Greece,Video editor,579-753-3041,CUST005
F,Rebecca,Cook,rebecca.cook@garcia.com,1973-01-29,Svalbard & Jan Mayen Islands,"Teacher, secondary school",+1-389-210-1399x1615,CUST006
F,Lisa,Lee,lisa.lee@robbins.com,1974-02-27,Vietnam,Advice worker,+1-769-814-1314,CUST007
M,Christopher,Gordon,christopher.gordon@carlson.biz,1983-07-27,Eritrea,Mechanical engineer,001-979-423-0225x8419,CUST008
M,Adam,Maldonado,adam.maldonado@golden.biz,1987-01-28,Cape Verde,"Surveyor, mining",001-607-715-0842x375,CUST009
M,Kevin,Mcclain,kevin.mcclain@anderson.com,1970-02-07,Nepal,"Engineer, agricultural",001-852-233-7696x069,CUST010
M,Christopher,Brown,christopher.brown@moore.net,1970-01-02,Turks and Caicos Islands,Arboriculturist,754.270.6381x2066,CUST011
M,Daniel,Love,daniel.love@baird.net,1976-08-27,Comoros,Commissioning editor,+1-334-642-1761x047,CUST012
M,Casey,Meyer,casey.meyer@newman.com,1972-11-17,Armenia,"Engineer, land",+1-548-855-9097x76582,CUST013
F,Laurie,Smith,laurie.smith@nelson.com,1976-05-18,Guadeloupe,Web designer,4046229456,CUST014
M,Brian,Cross,brian.cross@parker.com,1990-08-06,Iraq,Land/geomatics surveyor,861-218-7755x1717,CUST015
M,Eric,Navarro,eric.navarro@gillespie.org,1995-07-23,Sri Lanka,Chartered loss adjuster,613-930-6016,CUST016
M,Thomas,Kramer,thomas.kramer@shelton.com,1981-05-03,Jersey,"Engineer, agricultural",(211)508-7317x643,CUST017
F,Loretta,Garcia,loretta.garcia@gray-payne.com,1977-02-16,Nepal,Ranger/warden,(596)568-7577,CUST018
M,Adam,Thornton,adam.thornton@nolan.com,1987-06-25,Netherlands,"Designer, furniture",(294)971-1801x3204,CUST019
F,Erin,Martin,erin.martin@melton.com,2004-05-13,Hong Kong,Senior tax professional/tax inspector,809.518.9163x48967,CUST020
F,Sarah,Yates,sarah.yates@mcclure.org,1987-04-26,Grenada,Brewing technologist,244.966.6022x3450,CUST021
M,Jason,Vasquez,jason.vasquez@love.com,1997-12-23,Argentina,Veterinary surgeon,767.301.7200x992,CUST022
